wer,ld,m,insertions,deletions,substitutions,inserted_words,deleted_words,substituted_words
2.3333333333333335,7,3,1,0,1,['as'],[],"[('the', 'a')]"
1.5454545454545454,17,11,2,1,2,"['any', 'any']",['you'],"[('anymore', 'more'), ('anymore', 'more')]"
3.888888888888889,35,9,0,1,8,[],['both'],"[('so', 'this'), ('you', 'rest'), ('play', 'when'), ('now', 'this'), ('i', 'happens'), ('lost', 'which'), ('my', 'turns'), ('turn', 'the')]"
1.0,6,6,2,0,0,"['later', 'yes']",[],[]
1.25,15,12,1,0,3,['want'],[],"[('mhm', 'mmmm'), ('mhm', 'mmmm'), ('wanna', 'to')]"
4.0,8,2,0,0,2,[],[],"[('two', 'do'), ('seven', 'something')]"
4.0,8,2,0,0,2,[],[],"[('one', 'hold'), ('more', 'on')]"
4.5,18,4,6,0,0,"['while', 'i', 'accept', 'the', 'second', 'one']",[],[]
7.0,28,4,4,0,4,"['so', 'i', 'have', 'to']",[],"[('you', 'go'), ('ever', 'out'), ('do', 'with'), ('whoever', 'your')]"
1.8571428571428572,13,7,1,2,1,['more'],"['go', 'ahead']","[('fours', 'force')]"
7.0,7,1,1,0,1,['pant'],[],"[('pass', 'boss')]"
3.25,13,4,0,3,1,[],"['hold', 'on', 'for']","[('it', 'sanaja')]"
3.0,33,11,7,0,3,"['if', 'i', 'listen', 'did', 'you', 'get', 'a']",[],"[('yeah', 'joker'), ('im', 'ill'), ('throwing', 'throw')]"
4.0,4,1,0,0,1,[],[],"[('hm', 'mmhmm')]"
1.1428571428571428,8,7,0,0,2,[],[],"[('gives', 'give'), ('them', 'him')]"
2.0,4,2,0,0,1,[],[],"[('ten', 'tank')]"
5.5,11,2,1,0,2,['i'],[],"[('one', 'love'), ('more', 'you')]"
2.0,4,2,0,0,1,[],[],"[('sixes', 'sexes')]"
4.166666666666667,25,6,3,0,4,"['need', 'to', 'go']",[],"[('felt', 'feel'), ('seen', 'center'), ('her', 'its'), ('like', 'life')]"
1.5,30,20,1,5,3,['no'],"['cuz', 'i', 'know', 'damn', 'dont']","[('well', 'because'), ('any', 'damn'), ('and', 'walknavining')]"
0.0,0,2,0,0,0,[],[],[]
0.0,0,1,0,0,0,[],[],[]
2.0,4,2,0,0,1,[],[],"[('four', 'for')]"
0.0,0,1,0,0,0,[],[],[]
0.0,0,3,0,0,0,[],[],[]
0.4,4,10,0,0,1,[],[],"[('cards', 'cars')]"
0.0,0,1,0,0,0,[],[],[]
2.375,19,8,1,0,4,['want'],[],"[('wanna', 'a'), ('wanna', 'one'), ('call', 'called'), ('that', 'earth')]"
4.75,19,4,1,0,4,['of'],[],"[('up', 'shit'), ('in', 'is'), ('this', 'far'), ('two', 'too')]"
4.0,4,1,0,0,1,[],[],"[('bad', 'olivia')]"
0.0,0,2,0,0,0,[],[],[]
5.5,11,2,1,0,2,['make'],[],"[('one', 'the'), ('three', 'arms')]"
1.1071428571428572,31,28,5,4,1,"['good', 'good', 'to', 'hey', 'guys']","['hm', 'no', 'you', 'got']","[('it', 'two')]"
0.0,0,1,0,0,0,[],[],[]
3.25,26,8,0,6,2,[],"['oh', 'oh', 'oh', 'oh', 'god', 'oh']","[('dear', 'wonderful'), ('god', 'view')]"
7.0,14,2,2,0,2,"['this', 'is']",[],"[('black', 'what'), ('mirror', 'youre')]"
1.4210526315789473,27,19,5,0,3,"['mmhmm', 'oh', 'he', 'but', 'for']",[],"[('waitwait', 'more'), ('wait', 'out'), ('wait', 'here')]"
0.0,0,1,0,0,0,[],[],[]
7.0,14,2,2,0,2,"['i', 'didnt']",[],"[('hold', 'know'), ('on', 'that')]"
0.0,0,2,0,0,0,[],[],[]
2.0,12,6,0,0,3,[],[],"[('bs', 'beers'), ('yo', 'you'), ('hm', 'know')]"
0.75,3,4,0,1,0,[],['like'],[]
0.9,9,10,0,3,0,[],"['just', 'take', 'bullshit']",[]
0.0,0,6,0,0,0,[],[],[]
2.0,4,2,0,0,1,[],[],"[('queens', 'quays')]"
0.0,0,11,0,0,0,[],[],[]
4.0,4,1,0,0,1,[],[],"[('hmm', 'huh')]"
0.0,0,2,0,0,0,[],[],[]
1.3333333333333333,8,6,0,0,2,[],[],"[('we', 'i'), ('we', 'i')]"
29.5,59,2,17,0,2,"['so', 'stage', 'become', 'and', 'then', 'also', 'we', 'possession', 'or', 'gore', 'vs', 'al', 'strong', 'unlocked', 'next', 'episode', 'to']",[],"[('call', 'yell'), ('out', 'them')]"
0.375,3,8,1,0,0,['but'],[],[]
2.7142857142857144,19,7,0,1,4,[],['risk'],"[('and', 'risking'), ('its', 'this'), ('just', 'is'), ('a', 'the')]"
0.0,0,5,0,0,0,[],[],[]
0.0,0,5,0,0,0,[],[],[]
1.0,4,4,0,0,1,[],[],"[('oh', 'well')]"
